category,headline,summary,link
Politics,Trump trial live updates: Michael Cohen testifies about Stormy Daniels payment,"Michael Cohen, a key witness in Donald Trump’s trial on allegations of business fraud related to hush money payments, is on the witness stand in Manhattan criminal court.",https://www.washingtonpost.com/politics/interactive/2023/trump-investigations-indictments/
Politics,"Justice Department warns against threats to voting rights, election workers",Attorney General Merrick Garland said the Justice Department will be ‘relentless’ in prosecuting those who threaten to disrupt the democratic process.,https://www.washingtonpost.com/justice/
Politics,Michael Cohen calmly describes Trump’s hush money instructions,"“Just do it,” then-candidate Donald Trump allegedly told Michael Cohen, his lawyer and fixer at the time, as a sex scandal threatened to upend his 2016 presidential campaign.",https://www.washingtonpost.com/politics/interactive/2023/trump-investigations-indictments/
Politics,Mike Johnson’s telling comment on GOP’s (lack of) voter-fraud evidence,Republicans have increasingly acknowledged that their claims are all about the vibes.,https://www.washingtonpost.com/politics/2024/05/09/republican-bogus-claims-vote-fraud/
Politics,Judge keeps tying Trump to possible intimidation,Juan Merchan has cited at least three instances of Trump’s potentially intimidating a witness or jurors. But experts say it’s hard to police.,https://www.washingtonpost.com/politics/2024/05/08/judge-keeps-tying-trump-possible-intimidation/
Politics,How Trump could wiggle out of his legal woes,"“It seems like he’s the luckiest man alive,” one legal observer said.",https://www.washingtonpost.com/politics/2024/05/08/how-trump-could-wiggle-out-his-legal-woes/
Politics,Why conservative media is suddenly turning on Kristi Noem,The Trump-era right wing has proven it will put up with plenty — until it decides you’re a political liability.,https://www.washingtonpost.com/politics/2024/05/08/why-conservative-media-is-suddenly-turning-kristi-noem/
Politics,A choice young voters see: Upend the country too much or not enough?,New swing-state polling released by Siena College and the New York Times shows President Biden’s continued weakness. But how predictive is it?,https://www.washingtonpost.com/politics/2024/05/13/biden-trump-polling-battleground-states/
Politics,Pentagon worried its primary satellite launcher can’t keep pace,"In a letter sent Friday, Air Force Assistant Secretary Frank Calvelli said he was “growing concerned” about the United Launch Alliance’s Vulcan rocket.",https://www.washingtonpost.com/space/
Politics,Tracking Biden administration political appointees to fill top roles,"Follow the president's progress filling nearly 800 positions, among the 1,200 that require Senate confirmation, in this tracker from The Washington Post and the Partnership for Public Service.",https://www.washingtonpost.com/politics/interactive/2020/biden-appointee-tracker/
Politics,The warning signs for Biden in new 2024 polls – and a reason for him to hope,Biden is losing voters he should win. Let us count the ways.,https://www.washingtonpost.com/the-fix/
Politics,Why Donald Trump ended up praising Hollywood’s most famous cannibal,"During an angry speech in New Jersey, Trump allowed his exaggerations to overflow.",https://www.washingtonpost.com/politics/2024/05/13/trump-hannibal-lecter-immigration/
Politics,Did Obamacare ‘massively’ increase the cost of health care?,Former Louisiana governor Bobby Jindal uses some suspect math to attack the Affordable Care Act.,https://www.washingtonpost.com/news/fact-checker/
Politics,"Bernie Sanders seeks to boost Biden, ‘the Squad’ in 2024",Bernie Sanders vehemently disagrees with Biden on his Israel policy but still plans on stumping for the president among young people unenthused about him.,https://www.washingtonpost.com/politics/2024/05/13/sanders-gaza-israel-biden-protests/
